SiteID,DEPTH_FROM,DEPTH_TO,Sample,Weight,Description,AuPPM,AgPPM,AlPPM,AsPPM,BaPPM,BePPM,BiPPM,CaPPM,CdPPM,CePPM,CoPPM,CrPPM,CsPPM,CuPPM,FePPM,GaPPM,GePPM,HfPPM,InPPM,KPPM,LaPPM,LiPPM,MgPPM,MnPPM,MoPPM,NaPPM,NbPPM,NiPPM,PPPM,PbPPM,RbPPM,RePPM,SPPM,SbPPM,ScPPM,SePPM,SnPPM,SrPPM,TaPPM,TePPM,ThPPM,TiPPM,TlPPM,UPPM,VPPM,WPPM,YPPM,ZnPPM,ZrPPM,DyPPM,ErPPM,EuPPM,GdPPM,HoPPM,LuPPM,NdPPM,PrPPM,SmPPM,TbPPM,TmPPM,YbPPM,Al2O3PPM,BaOPPM,CaOPPM,Fe2O3PPM,K2OPPM,MgOPPM,Na2OPPM,P2O5PPM,TiO2PPM,Cr2O3PPM,MnOPPM,SrOPPM,BaOPPM,P2O5PPM,Cr2O3PPM,MnOPPM,SrOPPM,SiO2PPM,LOIPPM,TotalPPM,CPPM,HgPPM,Na/Al (Molar),K/Al (Molar)
GTK-21-01,508,509,half-NQ2,3.78,ironstone w/ trace chalcopyrite; quartz vein w/ molybdenite,0.0025,0.08,1000,2.8,10,0.69,2.14,22500,0.02,1085,45.9,6,0.025,1030,386000,18.45,1.16,0.7,0.055,0.01,387,0.6,0.07,114,7.76,100,18.1,24.5,11600,3.7,0.4,0.002,500,0.43,3.8,1,11.3,42.6,0.59,0.025,37.3,1660,0.01,4.9,529,1.6,124.5,6,31.4,29.3,10.1,7.06,63.7,4.39,0.64,466,122.5,86.2,7.37,1.22,5.76,0.188946,11.164951,3.14817,55.187559,0.012046,0.116079,0.01348,,0.276894,8.76934,147.199909,50.378727,0.001116,,0.000876934,0.01472,0.005038,,,,,,0.117363245,0.069009494
GTK-21-01,509,510,half-NQ2,4.15,magnetite-hematite ironstone; trace pyrite,0.005,0.03,1100,2.8,10,0.59,0.61,26200,0.04,1590,58.4,3,0.025,638,461000,23.7,1.54,0.1,0.051,0.005,550,0.6,0.08,157,4.8,100,19.5,35.9,13450,3.8,0.3,0.003,400,0.45,3.5,0.5,11.4,54.8,0.66,0.025,42.4,1680,0.01,5.1,619,1.8,132,5,7.2,33,10.45,9.21,81.2,4.75,0.57,664,179,117.5,8.72,1.18,5.28,0.207841,11.164951,3.665869,65.91053,0.006023,0.132662,0.01348,,0.28023,4.38467,202.722682,64.806438,0.001116,,0.000438467,0.020272,0.006481,,,,,,0.106693859,0.031367952
GTK-21-01,510,510.75,half-NQ2,2.62,ironstone w/ tr chalcopyrite & bornite [0.21m OZ sample below],0.013,0.24,1500,3.8,10,0.51,8.14,18700,0.03,844,90.7,14,0.025,3380,345000,15.4,0.87,1,0.096,0.02,298,0.8,0.11,134,43.5,100,17.3,30.3,9820,7.2,0.6,0.004,2000,0.38,3.8,5,8.7,39.1,0.55,0.16,30.9,1560,0.01,5.8,470,1.4,107,9,37.4,22.3,7.88,5.44,51.8,3.51,0.51,354,93.4,66.1,5.66,0.95,4.58,0.283419,11.164951,2.616479,49.325668,0.024092,0.18241,0.01348,22501.2087,0.260213,20.461793,173.024455,46.23963,0.001116,2.250121,0.002046,0.017302,0.004624,,,,,,0.078242164,0.092012659
GTK-21-01,510.96,512,half-NQ2,4.41,ironstone w/ trace chalcopyrite [0.21m OZ sample above],0.005,0.02,700,2.8,10,0.49,0.49,21500,0.03,1320,50.7,3,0.025,366,450000,19.3,1.33,0.2,0.074,0.005,434,0.4,0.05,144,8.44,100,19,22.6,11300,3.3,0.2,0.003,300,0.49,4.1,0.5,14,50.9,0.58,0.025,35.9,2330,0.01,6,578,2.3,126,5,6.7,30.8,9.9,7.99,73.1,4.3,0.57,552,145,100.5,7.89,1.1,5.2,0.132262,11.164951,3.008251,64.337828,0.006023,0.082914,0.01348,,0.388652,4.38467,185.936727,60.194301,0.001116,,0.000438467,0.018594,0.006019,,,,,,0.167661779,0.049292496
GTK-21-01,512,513,half-NQ2,3.37,"ironstone w/ tr sulphide, partially vuggy ironstone; tr cpy",0.005,0.04,500,3.4,10,0.67,2.75,40700,0.02,2190,42.6,3,0.025,524,370000,24.1,2.1,0.2,0.074,0.005,710,0.4,0.03,166,10.15,100,14.1,25,22800,5,0.3,0.004,300,0.41,3.3,0.5,8.5,102,0.59,0.025,65,1700,0.01,6.8,473,1.7,219,3,9.6,53.1,16.65,13.65,126.5,7.89,0.81,932,245,169.5,13.4,1.81,7.99,0.094473,11.164951,5.694689,52.899992,0.006023,0.049748,0.01348,,0.283566,4.38467,214.343727,120.625122,0.001116,,0.000438467,0.021434,0.012063,,,,,,0.234726491,0.069009494
GTK-21-01,513,514,half-NQ2,4.71,magnetite-hematite ironstone w/ trace chalcopyrite,0.0025,0.03,800,3.1,10,0.55,0.95,26000,0.03,1495,50.6,6,0.025,1000,431000,21.5,1.61,0.3,0.053,0.01,560,0.5,0.05,133,6.31,100,18.6,24,13150,4.1,0.3,0.003,700,0.45,4.2,0.5,11.6,63.5,0.54,0.025,40.3,2470,0.01,6.2,559,1.7,174,5,12.6,39,13.1,10.2,92.6,5.77,0.66,693,181.5,125,10.2,1.41,6.44,0.151157,11.164951,3.637885,61.621342,0.012046,0.082914,0.01348,,0.412005,8.76934,171.733227,75.095051,0.001116,,0.000876934,0.017173,0.00751,,,,,,0.146704057,0.086261868
GTK-21-01,514,515,half-NQ2,4.11,magnetite-hematite ironstone w/ trace chalcopyrite,0.007,0.05,700,1.6,10,0.29,5.78,13200,0.02,490,69.7,2,0.025,2800,463000,14.3,0.68,0.5,0.095,0.01,209,0.4,0.04,88,11.25,100,20.5,36.5,6920,4.2,0.4,0.002,1700,0.42,3.9,2,9.6,28.5,0.68,0.025,28.5,2330,0.01,4.7,582,1.3,74.6,4,27.4,16.4,6.52,3.4,33.5,2.64,0.39,233,61.8,43.2,3.71,0.74,3.49,0.132262,11.164951,1.846926,66.196476,0.012046,0.066331,0.01348,15856.2489,0.388652,2.923113,113.628,33.704078,0.001116,1.585625,0.000292311,0.011363,0.00337,,,,,,0.167661779,0.098584991
GTK-21-01,515,516,half-NQ2,4.25,magnetite-hematite ironstone w/ trace chalcopyrite,0.005,0.01,500,2.2,10,0.35,0.64,30900,0.03,1075,64.2,2,0.025,677,444000,17.45,1.16,0.2,0.044,0.01,371,0.3,0.03,139,2.86,100,21.3,26.8,15950,3.6,0.4,0.002,700,0.4,4.1,0.5,11.3,73.4,0.62,0.025,51.1,2690,0.01,7.1,572,1,184,3,8.6,38.2,13.25,7.07,68.3,5.95,0.79,462,122.5,87.6,8.56,1.58,7.33,0.094473,11.164951,4.323486,63.47999,0.012046,0.049748,0.01348,,0.448701,2.923113,179.480591,86.802784,0.001116,,0.000292311,0.017948,0.00868,,,,,,0.234726491,0.138018988
GTK-21-01,516,517,half-NQ2,3.98,ironstone w/ quartz-ankerite; trace chalcopyrite; trace bornite initially noted during drilling?,0.009,0.07,800,4,10,0.66,20.1,50600,0.02,2490,59.3,5,0.025,2720,380000,29.5,2.45,0.2,0.086,0.01,850,0.6,0.05,198,28.5,200,13.7,42.1,27000,11.6,0.5,0.007,1400,0.44,4,1,8.5,143,0.43,0.06,133,1830,0.01,14.2,457,1.3,265,5,8.4,62.7,19.35,15.6,144,9.32,1.01,1115,295,199.5,15.8,2.19,9.81,0.151157,11.164951,7.079884,54.329721,0.012046,0.082914,0.026959,,0.30525,7.307783,255.663,169.111691,0.001116,,0.000730778,0.025566,0.016911,,,,,,0.293408113,0.086261868
GTK-21-01,517,518,half-NQ2,4.06,magnetite-hematite ironstone w/ trace chalcopyrite-pyrite,0.0025,0.01,800,2.1,10,0.47,0.55,22600,0.01,1100,50.1,3,0.025,616,399000,18.35,1.13,0.3,0.049,0.01,395,0.5,0.06,113,2.99,100,16.6,29.3,11400,3.4,0.3,0.002,500,0.46,3.8,0.5,11.3,56.2,0.5,0.025,35.9,2390,0.01,5.9,509,1.2,121.5,3,11.4,29.3,9.62,6.77,63.3,4.24,0.52,474,127.5,87,7.16,1.13,5.29,0.151157,11.164951,3.162162,57.046207,0.012046,0.099497,0.01348,,0.39866,4.38467,145.908682,66.462077,0.001116,,0.000438467,0.014591,0.006646,,,,,,0.146704057,0.086261868
GTK-21-01,518,519,half-NQ2,4.24,magnetite-hematite ironstone w/ trace chalcopyrite-pyrite,0.0025,0.01,2100,2.3,10,0.41,0.49,25300,0.04,1620,42.5,4,0.025,490,365000,22.4,1.67,0.6,0.047,0.17,590,0.6,0.05,127,1.18,100,15.6,22.9,13300,4.4,2.6,0.003,500,0.45,3.5,0.5,10.8,71.2,0.5,0.025,44.6,2390,0.01,6.9,477,1.1,191,4,25.5,39.7,13.3,10.2,91.1,6.04,0.76,728,192,128,9.99,1.55,7.41,0.396787,11.164951,3.539942,52.185127,0.204783,0.082914,0.01348,,0.39866,5.846227,163.985864,84.201066,0.001116,,0.000584623,0.016399,0.00842,,,,,,0.05588726,0.558648285
