PROJECT,SiteID,DEPTH_FROM,DEPTH_TO,SampleID,CuPPM,AuPPM,AgPPM,UPPM,FePPM,AsPPM,AlPPM,BaPPM,BiPPM,CaPPM,CdPPM,CePPM,CoPPM,CrPPM,CsPPM,DyPPM,ErPPM,EuPPM,FPPM,GaPPM,GdPPM,HfPPM,HoPPM,InPPM,KPPM,LaPPM,LuPPM,MgPPM,MnPPM,MoPPM,NaPPM,NbPPM,NdPPM,NiPPM,PPPM,PrPPM,PbPPM,RbPPM,SbPPM,ScPPM,SePPM,SmPPM,SnPPM,SPPM,SiPPM,SrPPM,TaPPM,TbPPM,TePPM,ThPPM,TiPPM,TmPPM,WPPM,VnPPM,VPPM,YPPM,YbPPM,ZnPPM,ZrPPM,PtPPM,PdPPM
SAR,DD21LAR007,148.1,150,D2002811,20,0.01,0.1,1,23400,1,24500,167,0.05,160000,0.05,29,5.4,15,1.4,2,0.5,0.25,,14,2,1.5,0.5,0.25,14000,15,0.25,82800,7600,0.5,3150,3,11,5,200,3,5,37,0.25,6,1,2,2.5,400,70900,30,0.3,0.25,0.1,5.5,1250,0.25,1.5,,20,14,0.5,10,45,,
SAR,DD21LAR007,150,152,D2002812,5,0.005,0.1,1,16000,6,22300,227,0.05,163000,0.05,23,4,20,1.3,1.5,0.5,0.25,,10,1,1,0.5,0.25,14700,12,0.25,88800,2860,0.5,1650,3,8,5,200,2.5,5,48.5,0.25,6,1,2,2.5,400,71300,48.2,0.3,0.25,0.1,5.5,1200,0.25,1.5,,20,8,0.5,5,40,,
SAR,DD21LAR007,152,154,D2002813,30,0.005,0.1,1,21800,6,26600,259,0.05,160000,0.05,33,5.2,25,1.8,1.5,0.5,0.25,,12,2,1.5,0.5,0.25,18300,17,0.25,81700,6040,0.5,1350,3,12,5,200,3.5,5,46,0.25,8,1,2,2.5,200,79300,33.6,0.3,0.25,0.1,5.5,1400,0.25,1.5,,20,10,0.5,5,45,,
SAR,DD21LAR007,154,155.84,D2002814,20,0.005,0.1,1,22000,1,19100,138,0.05,177000,0.05,27,5.2,15,2.1,1.5,0.5,0.25,,13,2,1,0.5,0.25,13300,15,0.25,88000,7800,0.5,1550,2.5,11,5,300,3,5,32,0.25,6,1,2,2.5,300,59000,28.2,0.3,0.25,0.1,4.5,1050,0.25,1.5,,20,10,0.5,10,35,,
SAR,DD21LAR007,155.84,157,D2002815,30,0.005,0.1,1,14800,8,30500,178,0.05,250000,0.05,34,4.6,25,2.3,1.5,0.5,0.25,,11,2,1.5,0.5,0.25,16800,18,0.25,18100,2480,0.5,6550,2.5,12,5,200,4,10,38,0.25,8,1,3,2.5,250,91300,87.2,0.2,0.25,0.1,6,1600,0.25,1.5,,30,10,0.5,10,50,,
SAR,DD21LAR007,157,158.47,D2002816,20,0.005,0.1,1,14900,6,21800,224,0.05,287000,0.05,25,4,20,1.2,1,0.5,0.25,,8,2,1.5,0.5,0.25,9150,13,0.25,17400,2240,0.5,4900,2.5,11,5,200,2.5,5,33.5,0.25,8,1,0.5,2.5,400,71200,101,0.2,0.25,0.2,5,1200,0.25,1.5,,20,8,0.5,5,40,,
SAR,DD21LAR007,158.47,160,D2002817,5,0.005,0.1,1,19200,6,28400,308,0.05,147000,0.05,31,6,25,1.2,1.5,0.5,0.25,,13,2,1.5,0.5,0.25,17500,15,0.25,80900,4220,0.5,2900,3,11,5,300,3.5,5,57,0.25,8,1,2,2.5,250,91600,34.6,0.2,0.25,0.1,7,1600,0.25,1.5,,35,10,0.5,10,50,,
SAR,DD21LAR007,160,162,D2002818,20,0.01,0.1,1.5,26300,6,30700,271,0.05,141000,0.05,37,7.2,25,1.6,2,0.5,0.25,,14,2,2,0.5,0.25,15300,19,0.25,76700,5220,0.5,3150,3,15,5,200,4,10,59,0.25,8,1,3,2.5,400,101000,25.6,0.3,0.25,0.1,7,1600,0.25,1.5,,35,14,0.5,20,60,,
SAR,DD21LAR007,162,164,D2002819,20,0.005,0.1,2,19200,1,21100,51,0.05,175000,0.05,33,5,20,1.4,2.5,0.5,0.25,,11,3,1,0.5,0.25,8050,16,0.25,94100,4480,0.5,3950,2.5,14,5,300,3.5,10,29.5,0.25,8,1,3,2.5,250,55700,20,0.3,0.25,0.1,5,1150,0.25,1.5,,20,16,0.5,10,50,,
SAR,DD21LAR007,164,166,D2002821,30,0.005,0.1,1,19800,6,18700,57,0.05,182000,0.05,21,5,15,1.1,2,0.5,0.25,,10,2,1,0.5,0.25,10700,9,0.25,95900,4680,2,3150,2.5,7,5,300,2,5,27,0.25,6,1,0.5,2.5,300,55600,18.6,0.2,0.25,0.4,4.5,1050,0.25,1.5,,30,11,0.5,5,45,,
SAR,DD21LAR007,166,167.28,D2002823,30,0.005,0.1,1.5,22700,6,28500,203,0.05,156000,0.05,22,8.8,25,2.4,2.5,0.5,0.25,,11,3,1.5,0.5,0.25,18100,10,0.25,83900,4260,0.5,550,3.5,11,5,200,2.5,5,53,0.25,8,1,3,2.5,100,85200,18.2,0.4,0.25,0.1,5.5,1550,0.25,1.5,,30,15,0.5,5,60,,
SAR,DD21LAR007,167.28,169,D2002824,20,0.005,0.1,1.5,19600,6,11800,47,0.05,199000,0.05,35,4.2,10,2.1,4,2,1,,12,4,1,0.5,0.25,6850,16,0.25,100000,7900,0.5,400,2,14,5,200,4,5,27.5,0.25,6,1,4,2.5,300,33100,24.2,0.2,0.25,0.1,3,650,0.25,1.5,,15,23,0.5,5,35,,
SAR,DD21LAR007,169,170.13,D2002825,20,0.005,0.1,1.5,21600,6,14600,99,0.3,200000,0.05,40,5,15,4.2,3,2,1,,12,4,1,0.5,0.25,9600,20,0.25,95900,7460,0.5,400,3,17,5,300,5,5,30.5,0.25,6,1,4,2.5,250,44700,28.6,0.4,0.25,0.1,3.5,800,0.25,1.5,,15,22,0.5,5,40,,
SAR,DD21LAR007,170.13,172,D2002826,20,0.005,0.1,3,29900,1,26000,270,0.05,166000,0.05,42,6,20,2.4,3,2,0.25,,17,3,1.5,0.5,0.25,16600,22,0.25,80400,10600,0.5,1200,2,16,5,300,5,5,48.5,0.25,8,1,3,2.5,400,83600,27.2,0.2,0.25,0.1,5.5,1450,0.25,1.5,,15,20,0.5,20,85,,
SAR,DD21LAR007,172,174,D2002827,30,0.005,0.1,5.5,24000,6,29900,367,0.05,160000,0.05,37,7.8,25,2.9,2,0.5,0.25,,16,3,2,0.5,0.25,20900,21,0.25,64000,5980,0.5,1050,2,14,5,200,4,10,67.5,0.25,8,1,3,2.5,1550,90700,37.4,0.2,0.25,0.1,7,1750,0.25,1.5,,40,17,0.5,10,80,,
SAR,DD21LAR007,174,176,D2002828,40,0.005,0.1,6.5,29300,6,29800,275,0.05,150000,0.05,22,7.2,20,2.6,2,2,0.25,,17,2,2,0.5,0.25,21500,10,0.25,73300,10600,0.5,1800,2.5,10,5,300,2.5,5,57,0.25,6,1,2,2.5,1350,94600,29.4,0.2,0.25,0.1,6,1550,0.25,1.5,,30,17,0.5,10,75,,
SAR,DD21LAR007,176,178,D2002829,20,0.005,0.1,5.5,26800,1,28000,278,0.05,156000,0.05,35,5.2,20,2.1,2,0.5,0.25,,16,3,2,0.5,0.25,18400,19,0.25,77500,8960,0.5,1950,2,14,5,300,4,5,49.5,0.25,6,1,2,2.5,950,86400,24.6,0.2,0.25,0.1,6,1450,0.25,1.5,,20,16,0.5,10,70,,
SAR,DD21LAR007,178,180,D2002830,20,0.005,0.1,2.5,18300,1,20900,148,0.05,170000,0.05,27,4.6,15,1.3,1.5,0.5,0.25,,12,2,1.5,0.5,0.25,15300,14,0.25,88200,4880,0.5,2450,2,10,5,300,3,5,30,0.25,6,1,2,2.5,800,64300,32.8,0.2,0.25,0.1,5,1100,0.25,1.5,,20,10,0.5,10,40,,
SAR,DD21LAR007,180,182,D2002831,20,0.005,0.1,2,16500,1,27800,204,0.05,162000,0.05,39,5,20,1,2,0.5,0.25,,12,2,1,0.5,0.25,22900,21,0.25,84200,4220,0.5,1850,2,14,5,300,4,5,35.5,0.25,8,1,2,2.5,400,81700,44,0.2,0.25,0.1,6,1450,0.25,1.5,,30,13,0.5,5,45,,
